first_name,last_name,email,Пароль,phone_number,address,position,department,start_date,salary
Аліна,Дергач,averchenkoles@yahoo.com,v1$Fqf0LXM,+380 99 443-70-22,хутір Херсон,Менеджер,Продажі,30.08.2023,35294
Варвара,Гайденко,levko10@mail.ua,h2hCiRUG0w,+380 96 858-37-38,село Шахтарськ,HR,Розробка,18.12.2022,15207
Станіслав,Юрчишин,lrudko@mail.ua,2mtoqg8twL,+380 95 758-37-37,місто Апостолове,HR,IT,31.12.2022,45846
Опанас,Чумаченко,halyna12@outlook.com,Qtz8NGWaGH,+380 66 869-69-42,місто Герца,Менеджер,Маркетинг,18.09.2023,47679
Антон,Гайдабура,ada25@yahoo.com,3Q4$Ek6kvp,+380 93 454-58-85,хутір Дніпро,Тестувальник,Маркетинг,19.11.2024,48518
Геннадій,Овчаренко,danna94@ukr.net,79NmYPt9al,+380 99 759-06-85,хутір Охтирка,Аналітик,Маркетинг,20.07.2020,34764
Ганна,Штокало,mykolai56@meta.ua,8MLU3riJxm,+380 66 214-76-42,селище Кіцмань,Менеджер,Фінанси,18.11.2024,47650
Одарка,Іщенко,leonid87@outlook.com,Hb34nk7wTK,+380 99 493-47-41,село Луганськ,Менеджер,Маркетинг,29.11.2022,42278
Арсен,Лукаш,dankevychielysei@i.ua,n2TzSRJc4p,+380 66 231-92-10,хутір Ірпінь,HR,Розробка,11.03.2022,23943
Демʼян,Ірванець,szhurba@gmail.com,wl9jjdxBAa,+380 96 131-77-23,хутір Петрово-Красносілля,HR,IT,04.10.2023,30430
Устим,Артюх,roksolana49@i.ua,RsGS2ITmVp,+380 98 168-92-17,селище Сновськ,Дизайнер,Фінанси,02.07.2023,37729
Олесь,Тихий,zhukoleh@outlook.com,jDLL7154xK,+380 99 601-76-92,селище Славутич,Менеджер,Розробка,03.08.2020,19788
Опанас,Дергач,mykhailo18@ukr.net,gOMfEge6w2,+380 95 350-91-10,село Комарно,Дизайнер,Маркетинг,08.12.2022,45024
Аврелій,Даценко,iukhymvelychko@yahoo.com,FIOJafyVNx,+380 50 837-27-04,місто Зоринськ,Аналітик,Фінанси,17.07.2023,44041
Левко,Панчук,mostapchuk@yahoo.com,4XFRVkXhzr,+380 95 645-03-69,місто Кропивницький,HR,Розробка,10.04.2021,33151
Франц,Петлюра,shabliidavyd@yahoo.com,PMJ9PXge6w,+380 95 171-81-38,селище Рубіжне,Аналітик,HR,06.02.2023,17617
Августин,Джус,yvertyporokh@i.ua,&x0oLgtrP8,+380 96 183-82-87,місто Вижниця,Тестувальник,Розробка,30.03.2022,49041
Онисим,Франко,kabanenkopavlo@mail.ua,vQ6leI6yud,+380 73 749-47-48,селище Хуст,Менеджер,HR,03.04.2021,15982
